"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.05.2011","2.859,57","2.879,39","2.884,14","2.856,83","7,70B","-0,46%"
"18.05.2011","2.872,77","2.846,72","2.877,43","2.843,68","7,68B","0,70%"
"17.05.2011","2.852,77","2.846,45","2.869,23","2.821,20","9,48B","0,13%"
"16.05.2011","2.849,07","2.864,38","2.877,09","2.846,31","8,46B","-0,76%"
"13.05.2011","2.871,03","2.846,31","2.871,99","2.832,25","9,32B","0,95%"
"12.05.2011","2.844,08","2.864,98","2.876,45","2.843,10","10,02B","-1,36%"
"11.05.2011","2.883,42","2.890,35","2.897,14","2.868,35","9,25B","-0,25%"
"10.05.2011","2.890,63","2.876,98","2.891,03","2.865,10","8,13B","0,63%"
"09.05.2011","2.872,46","2.868,24","2.885,18","2.861,42","8,16B","0,30%"
"06.05.2011","2.863,89","2.842,76","2.881,71","2.834,46","9,11B","-0,30%"
"05.05.2011","2.872,40","2.854,77","2.880,12","2.849,91","9,11B","0,22%"
"04.05.2011","2.866,02","2.916,84","2.916,97","2.860,07","11,15B","-2,26%"
"03.05.2011","2.932,19","2.911,51","2.933,46","2.890,22","9,64B","0,71%"
"29.04.2011","2.911,51","2.886,63","2.913,56","2.871,01","8,75B","0,85%"
"28.04.2011","2.887,04","2.937,95","2.953,19","2.884,84","10,52B","-1,31%"
"27.04.2011","2.925,41","2.946,33","2.961,13","2.907,66","10,55B","-0,46%"
"26.04.2011","2.938,98","2.956,95","2.970,28","2.931,50","9,52B","-0,88%"
"25.04.2011","2.964,95","3.003,03","3.003,61","2.964,64","11,73B","-1,51%"
"22.04.2011","3.010,52","3.025,70","3.032,97","3.004,46","11,85B","-0,53%"
"21.04.2011","3.026,67","3.021,77","3.035,47","3.012,54","12,15B","0,65%"
"20.04.2011","3.007,04","3.005,97","3.019,12","2.992,67","11,97B","0,27%"
"19.04.2011","2.999,04","3.038,81","3.038,81","2.996,22","14,19B","-1,91%"
"18.04.2011","3.057,33","3.040,53","3.067,46","3.037,19","13,75B","0,22%"
"15.04.2011","3.050,53","3.036,34","3.062,53","3.020,16","12,85B","0,26%"
"14.04.2011","3.042,64","3.049,67","3.058,24","3.036,73","12,95B","-0,25%"
"13.04.2011","3.050,40","3.006,83","3.050,40","2.994,47","12,82B","0,96%"
"12.04.2011","3.021,37","3.012,79","3.039,12","3.003,45","14,60B","-0,05%"
"11.04.2011","3.022,75","3.037,91","3.059,57","3.019,89","14,72B","-0,24%"
"08.04.2011","3.030,02","3.005,37","3.031,10","2.998,34","11,43B","0,74%"
"07.04.2011","3.007,91","3.003,20","3.012,29","2.990,31","12,47B","0,22%"
